Section Info,Nearest Subheading,"Sentence with ""shall""",Page Number
1.2.16,Specific Test Measurement Location,The nine positions in the x-z plane (the x-z plane is parallel to the detector plane ) through which the test object(s) shall be passed.,3
1.2.19,Test Measurement Grid Location,The positions in the x-z plane (the x-z plane is parallel to the detector plane ) through which the test object(s) shall be passed.,20
1.2.20,Three-Axes Positioning System,REQUIREMENTS FOR ACCEPTANCE The detector shall meet the requirements and specifications stated in this section. Reports shall be provided on the Compliance Test Report forms mentioned in section 6.,6
2.1.1,Electrical,"The detector shall comply with UL 60950, Safety for Information Technology Equipment , if the electrical potential difference between any two points within the detector is greater than 30 V rms (",60950
82.1.2,Mechanical,"The detector shall not expose (1) any sharp corners or edges that can puncture, cut, or tear the skin or clothing or injure persons coming in contact with the detector, (2) external wires, connectors, and cables, except the power cable described in section 2.2.2, or (3) loose covers and cowlings. The minimum exposed radius of curvature for corners and edges shall be 1 mm (",1
2.1.3,Exposure,"The level of the magnetic field generated by the detector shall be less than the exposure limits specified in ACGIH–0302 (1996), Sub-Radio Frequency (30 kHz and below) Magnetic Fields, as amended.",0302
2.1.4,Personal Medical Electronic Devices,"The magnetic fields produced by the detector shall not generate voltages across the leads of the test probe specified in Safety Code, Recommended Safety Procedures for the Selection, Installation and Use of Active Metal Detectors (the Safety Procedures), Radiation Protection Bureau, Canadian Minister of National Health and Welfare that exceed the maximum permitted probe output specified in the Safety Procedures when tested in accordance to the Safety Procedures.",0302
2.2.1,AC Power,"The detector shall operate at the available power line voltages with variations in line voltage less than or equal ± 10 % of the nominal value and with variations in frequency £ ± 5 % of the nominal value. The manufacturer shall provide an indicator to alert the operator of the ac power status, if outside of range, as described in section 2.6.2.5.",2
2.2.2,AC Connector,"An ac power connector socket shall be provided on both sides of the detector portal unless the operation and function of the detector is the same for traffic flow in both directions, in which case an ac connector is required on one side of the portal. To provide a secure connection, the ac connector socket shall not be exposed.",2
92.3,Detection Performance Specifications,The detection performance specifications shall be tested using the specific set of detector program parameter settings that is specified by the manufacturer to be appropriate for each object size class of detector that is to be tested.,2
2.3.1,Detection Sensitivity,The detector response shall be measured at all specific test measurement locations and test measurement grid locations and shall provide a positive alarm indication for each test object of the appropriate object size class for each allowed orientation of the test object axes with respect to the measurement coordinate system moving at a speed of,2
1.0,m/s ± 0.05 m/s in accordance with,The results shall be recorded and a report shall be provided.,3
1.0,m/s ± 0.05 m/s in accordance with,"4) of this test object that provide a minimum detector response for the appropriate object size class shall be recorded and specified as the “minimum detection conditions.” The test object , the orientation of the test object axes of this test object with respect to the measurement coordinate system , and the x- and y-axes scan positions (see sec. 3.2.3) of the test measurement grid locations that provide a minimum detector response for the appropriate object size class shall be recorded and specified as the “alternate minimum detection conditions.” If more than one x-z position can satisfy the requirements of the minimum detection condition or the alternate minimum detection condition, then one position shall be selected for each condition.",3
2.3.2,Speed,The detector shall provide a positive alarm indication for the “minimum detection conditions” and “alternate minimum detection conditions” for each appropriate object size class as determined according to section,3
0.5,"m/s ± 0.01 m/s, 1.0 m/s ± 0.01 m/s, and 2.0 m/s ± 0.01 m/s as tested in accordance with section",The results shall be recorded.,3
2.3.3,Repeatability,The detector shall provide a positive alarm indication without failure for the “minimum detection conditions” and “alternate minimum detection conditions” for each appropriate object size class as determined according to section,3
2.3.1,for the test object  moving at a speed of 1.0 m/s ± 0.05 m/s for,"50 consecutive trials under the following conditions: a.The delay between subsequent trials of a given test object shall be no more than 5 s. b.The detector sensitivity shall not be readjusted between trials of a given test object or between trials of the test objects of a given object size class .10Figure 4. Test measurement locations for detection performance tests where the outer box represents the inside dimensions of the walk-through metal detector11This test shall be performed according to section 3.2.4, and the results shall be recorded.",3
2.3.4,Discrimination,The detector shall meet the requirements of section,3
3.2.5,"for the innocuous item test objects moving at a speed of 1.0 m/s ± 0.1 m/s, and the",results shall be recorded.,20
2.3.5,Throughput Rate,The detector shall provide a positive alarm indication for the test object of the appropriate object size class and its orientation from which the “minimum detection conditions” were determined (see sec.,2
0.5,"cm, 144 cm ± 0.5 cm, and 178 cm ± 0.5 cm when tested in accordance with section 3.2.7, and the",results shall be recorded.,2
2.4.1,Operator Controls,"Only those controls required to operate the equipment shall be accessible to the operator. Other controls and adjustments that affect the detector performance shall be inaccessible to the operator. The detector shall be self-testing upon turn-on without any adjustment required by the operator and shall be continuously self-testing during the period of operation with automatic self-adjusting, if required. The following operator controls shall be provided:",2
2.4.1.1,Power On/Off Switch,The detector shall have a power on/off switch.,2
2.4.1.2,Audio Alarm On/Off Switch,The detector shall have a means for selectively disabling the audio alarm.,2
