Section Info,Nearest Subheading,"Sentence with ""shall""",Page Number
6.2.1,Mandatory guidelines,C code which is claimed to conform to this document shall comply with every mandatory guideline — deviation from m andatory guidelines is not permitted.,6
6.2.2,Required guidelines,"C code which is claimed to conform to this document shall comply with every required guideline, with a formal deviation requi red, as described in Section  5.4, where this is not the case.",5
1.1,Any implementation-de ﬁ ned behaviour on which the output of the ,"program depends shall be documented and understood C90 [Annex G.3], C99 [Annex J.3] Category Required Applies to C90, C99 Ampli ﬁ cation Appendix  G of this document lists, for both C90 and C99, those implementation-deﬁ ned behaviours that: • Are considered to have the potential to cause unexpected program operation, and • May be present in a program even if it complies with all the other MISRA  C guidelin es.",5
3.1,All code shall be traceable  to documented requirements ,The method by which code is traced back to documented requirements shall be determined by the project.,1
4.3,Assembly language shall be encapsulated and isolated,"Category Required Applies to C90, C99 Ampli ﬁ cation Where assembly language instructions are used they shall be encapsul ated and isolated in: • Assembly language functions; • C functions ( inline f u nctions preferred for C99); • C macros.",1
4.7,"If a function returns error information, then that error information ","shall be tested Category Required Applies to C90, C99 Ampli ﬁ cation The list of functions that are deemed to return error information shall be determined by the project. The error informati on returned by a function shall be tested in a meaningful manner.",4
4.7,"If a function returns error information, then that error information ",Whenever such a mechanism is provided by a function the calling program shall check for the indication of an error as soon as the function returns.,4
4.10,Precautions shall be taken in order to preven t the contents of a header ,Copy 1 of 133 Section 7: Directives<start-of-file> #if !defined ( identifier )#define identifier /* Contents of file */#endif<end-of-file> <start-of-file> #ifndef identifier#define identifier /* Contents of file */#endif<end-of-file> Note: the identi ﬁ er used to test and record whether a given header ﬁ le has already been included shall be unique across all header ﬁ les in the project.,1
4.11,The validity of values passed to library func tions shall be checked,"The programmer shall provide appropriate checks of input values for all library functions which have a restricted input domain (The Standard Library, third-party libraries, and in-house libraries).",4
4.7,Dir 4.12 Dynamic memory allocation sh all not be used,"The speci ﬁ cation of third-party routines shall be checked to ensure that dynamic memory allocation is not being used inadvertently. If a decision is made to use dynamic memory, care shall be taken to ensure that the software behaves in a predictable manner.",10
1.1,The program shall contain no violations  of the standard C syntax and ,"constraints , and shall not exceed the implementation’s tr anslation limits [MISRA G uidelines Table 3], [IEC 61508-7: Table C.1], [ISO 26262-6: Table 1] Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation The program shall use only those features of the C  language and its library that are speci ﬁ ed in the chosen version of The Standard (see Section 3.1).",2
1.1,The program shall contain no violations  of the standard C syntax and ,"Except when making use of a language extension, a program shall not: • Contain any violations of the language syntax described in The Standard; • Contain any violations of the co ns traints imposed by The Standard. A program shall not exceed the translation limits imposed by the implementation.",2
2.1,A project shall not contain unreachable code,"For example, in a switch statement in which every possible value of the controlling expression is covered by an explicit case , a default clause shall be present according to Rule  16.4.",14
4.1,Octal and hex adecimal escape sequences shall be term inated,"C90 [Implementation 11], C99 [Implementation J.3.4(7, 8)] Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation An octal or hexadecimal escape sequenc e shall be terminated by either: • The start of another escape sequence, or • The end of the character constant or the end of a string literal.",141
5.5,Rule 5.3 An identi ﬁ er declared in an inner scope shall not hide an ident iﬁ er ,"declared in an outer scope Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation An identi ﬁ er declared in an inner scope shall be distinct from any identi ﬁ er declared in an outer scope.",1
5.6,A ty pedef  name shall be a unique identi ﬁ er,"Category Required Analysis Decidable, System Applies to C90, C99 Ampli ﬁ cation A typedef name shall be unique across all name space s and translation units.",0
5.7,A tag name shall be a unique identiﬁ  er,"Category Required Analysis Decidable, System Applies to C90, C99 Ampli ﬁ cation The tag shall be unique across all name spaces and translati on units. All declarations of the tag shall specify the same type.",0
5.6,Rule 5.8 Identi ﬁ ers that de ﬁ ne objects or functions with external linkage  shall ,"be unique Category Required Analysis Decidable, System Applies to C90, C99 Ampli ﬁ cation An identi ﬁ er used as an external identi ﬁ er shall not be used for any other p urpose in any name space or translation unit, even if it denotes an object with no linkage.",1
7.4,A string liter al shall not be assigned  to an object unless the object’s ,"type is “pointer to const -quali ﬁ ed char ” C90 [Unde ﬁ ned 12], C99 [Unspeci ﬁ ed 14; Unde ﬁ ned 30] Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation No attempt shall be made to modify a string literal or wide string literal directly. The result of the address-of operator, &, applied to a string literal shall not be assigned to an object unless that object’s type is “pointer to array of const -quali ﬁ ed char ”.",1
7.4,A string liter al shall not be assigned  to an object unless the object’s ,"A wide string literal shall not be assigned to an o b j ect u n l ess th e o b j ect’ s type i s “po i n t e r t o const -quali ﬁ ed wchar_t ”. The result of the address-of operator, &, applied to a wide string literal shall not be assigned to an object unless that object’s type is “pointer to array of const -quali ﬁ ed wchar_t ”.",1
8.5,An external object or function shall be declared once in one and only ,"Note: there may be many header ﬁ les in a project, but each external object or function shall only be declared in one header ﬁ le.",0
8.8,The static  storage class speci ﬁ er shall be used in all declarations of ,The static storage class speci ﬁ er shall therefore be consistently applied to objects and functions with internal linkage.,0
8.12,"Within a n enumerator list, the value of an implicitly-speci ﬁ ed ","enumeration constant shall be unique Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Rational e An implicitly-speci ﬁ ed enumeration constant has a value 1 greater than its predecessor.",3
9.1,The value  of an object with automatic storage duration shall not be ,"read before it has been set C90 [Unde ﬁ ned 41], C99 [Unde ﬁ ned 10, 17] Category Mandatory Analysis Undecidable, System Applies to C90, C99 Ampli ﬁ ca tion For the purposes of this rule, an array element or structure member shall be considered as a discrete object.",15
9.3,Arrays shall not be partially initializ ed,"Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation If any element of an arra y object or subobject is explicitly initialized, then the entire object or subobject shall be explicitly initialized.",1
9.5,Where designated initializers are used t o initialize an array object the ,"size of the array shall be speci ﬁ ed explicitly Category Required Analysis Decidable, Single Translation Unit Applies to C99 Ampli ﬁ cation The rule applies equally t o an array subobject that is a ﬂ exible array member.",0
9.5,Where designated initializers are used t o initialize an array object the ,"Copy 1 of 181 Section 8: RulesTo make the intent clear, the array size shall be declared explicitly.",0
10.2,Expressions of essentially  character type  shall not be used ,"For the + o p erator, one operand shall have essentially character type and the other shall have essentially signed type or essentially unsigned type .",0
10.2,Expressions of essentially  character type  shall not be used ,"For the - operat or , the ﬁ rst operand shall have essentially character type and the second shall have essentially signed type , essentially unsigned type or essentially character type .",0
10.2,Expressions of essentially  character type  shall not be used ,Rationale Expressions with essentially character type (character data) shall not be used arithmetically as the data does not represent numeric values.,0
8.10.3,Rule 10.7 If a c omposite expression  is used as one operand of an operator in ,"which the u sual arithmetic conversions are performed then the other operand shall not have wider essential type Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Rationale The rationale is described in the introduction on composite operator s and expressions (see Section  8.10.3).",1
11.1,Conversions shall not be performed between a pointer to a function ,"and any other type C90 [Unde ﬁ ned 24, 27–29], C99 [Unde ﬁ ned 21, 23, 39, 4 1] Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation A pointer to a function shall only be converted into or from a pointer to a function with a compatible type.",3
11.2,Conversions shall not be performed between a pointer to an ,"incomplete type and any other type C90 [Unde ﬁ ned 29], C99 [Unde ﬁ ned 21, 22, 41] Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation A pointer to an incomplete type shall not be converted into another type. A conversion shall not be made into a pointer to incompl ete type.",1
11.3,Rule 11.9 The macr o NULL shall be the only per mitted form of integer null ,"pointer constant Category Required Analysis Decidable, Single Translation Unit Applies to C90, C99 Ampli ﬁ cation An integer constant ex pression with the value 0 shall be derived from expansion of the macro NULL if it appears in any of the following contexts: • As the value being as sign ed to a pointer; • As an operand of an == or != operator whose other operand is a pointer; • As the second operand of a ?",0
